package	ondiskversion	loadedversion	path	loadedpath	attached	is_base	date	source	md5ok	library
RSQLite	RSQLite	2.2.20	2.2.20	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/RSQLite	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/RSQLite	FALSE	FALSE	2022-12-22	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
rtracklayer	rtracklayer	1.52.1	1.52.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rtracklayer	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/rtracklayer	FALSE	FALSE	2021-08-15	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
S4Vectors	S4Vectors	0.30.2	0.30.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/S4Vectors	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/S4Vectors	TRUE	FALSE	2021-10-03	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
sessioninfo	sessioninfo	1.2.2	1.2.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/sessioninfo	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/sessioninfo	FALSE	FALSE	2021-12-06	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
shiny	shiny	1.7.4	1.7.4	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/shiny	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/shiny	FALSE	FALSE	2022-12-15	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
speedglm	speedglm	0.3.4	0.3-4	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/speedglm	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/speedglm	FALSE	FALSE	2022-02-24	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
stringi	stringi	1.7.12	1.7.12	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/stringi	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/stringi	FALSE	FALSE	2023-01-11	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
stringr	stringr	1.5.0	1.5.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/stringr	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/stringr	FALSE	FALSE	2022-12-02	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
SummarizedExperiment	SummarizedExperiment	1.24.0	1.24.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/SummarizedExperiment	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/SummarizedExperiment	FALSE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
tibble	tibble	3.1.8	3.1.8	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/tibble	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/tibble	FALSE	FALSE	2022-07-22	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
tidyselect	tidyselect	1.2.0	1.2.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/tidyselect	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/tidyselect	FALSE	FALSE	2022-10-10	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
urlchecker	urlchecker	1.0.1	1.0.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/urlchecker	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/urlchecker	FALSE	FALSE	2021-11-30	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
usethis	usethis	2.1.6	2.1.6	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/usethis	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/usethis	TRUE	FALSE	2022-05-25	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
utf8	utf8	1.2.3	1.2.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/utf8	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/utf8	FALSE	FALSE	2023-01-31	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
vctrs	vctrs	0.5.1	0.5.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/vctrs	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/vctrs	FALSE	FALSE	2022-11-16	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
XML	XML	3.99.0.13	3.99-0.13	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/XML	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/XML	FALSE	FALSE	2022-12-04	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
xml2	xml2	1.3.3	1.3.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/xml2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/xml2	FALSE	FALSE	2021-11-30	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
xtable	xtable	1.8.4	1.8-4	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/xtable	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/xtable	FALSE	FALSE	2019-04-21	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
XVector	XVector	0.34.0	0.34.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/XVector	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/XVector	TRUE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
yaml	yaml	2.3.6	2.3.6	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/yaml	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/yaml	FALSE	FALSE	2022-10-18	CRAN (R 4.1.1)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
zlibbioc	zlibbioc	1.40.0	1.40.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/zlibbioc	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/zlibbioc	FALSE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
